hour,time,alive_percent,q_t,resilience
307,2025-01-13 18:00,98.9969,0.984094,0.832519
308,2025-01-13 19:00,97.5309,0.966737,0.832955
309,2025-01-13 20:00,96.3735,0.960452,0.833367
310,2025-01-13 21:00,94.8302,0.938268,0.833706
311,2025-01-13 22:00,88.4259,0.883821,0.833867
312,2025-01-13 23:00,88.3488,0.882261,0.834022
313,2025-01-14 00:00,87.8858,0.872389,0.834145
314,2025-01-14 01:00,86.7284,0.863619,0.834239
315,2025-01-14 02:00,85.8025,0.853395,0.834299
316,2025-01-14 03:00,84.8765,0.846138,0.834337
317,2025-01-14 04:00,84.2593,0.842137,0.834361
318,2025-01-14 05:00,84.1049,0.826858,0.834338
319,2025-01-14 06:00,82.5617,0.822848,0.834302
320,2025-01-14 07:00,100.0,0.831159,0.834292
321,2025-01-14 08:00,100.0,0.925601,0.834576
322,2025-01-14 09:00,100.0,0.977488,0.83502
323,2025-01-14 10:00,100.0,0.996434,0.83552
324,2025-01-14 11:00,100.0,1.0,0.836028
325,2025-01-14 12:00,100.0,1.0,0.836532
326,2025-01-14 13:00,100.0,1.0,0.837034
327,2025-01-14 14:00,100.0,1.0,0.837532
328,2025-01-14 15:00,100.0,1.0,0.838027
329,2025-01-14 16:00,100.0,0.987266,0.838481
330,2025-01-14 17:00,93.9043,0.936892,0.838779
331,2025-01-14 18:00,92.284,0.9161,0.839013
332,2025-01-14 19:00,90.8179,0.904677,0.839211
333,2025-01-14 20:00,90.3549,0.899642,0.839392
334,2025-01-14 21:00,88.6574,0.883128,0.839523
335,2025-01-14 22:00,87.7315,0.876435,0.839633
336,2025-01-14 23:00,87.5,0.872614,0.839731
337,2025-01-15 00:00,87.1914,0.865152,0.839807
338,2025-01-15 01:00,85.108,0.848581,0.839833
339,2025-01-15 02:00,84.4136,0.840109,0.839834
340,2025-01-15 03:00,83.179,0.826589,0.839795
341,2025-01-15 04:00,82.3302,0.821958,0.839742
342,2025-01-15 05:00,82.0988,0.816239,0.839674
343,2025-01-15 06:00,80.8642,0.804914,0.839572
344,2025-01-15 07:00,67.7469,0.674292,0.839092
345,2025-01-15 08:00,66.7438,0.663328,0.838582
346,2025-01-15 09:00,66.1265,0.660683,0.838068
347,2025-01-15 10:00,65.2006,0.648434,0.837522
348,2025-01-15 11:00,63.8889,0.638198,0.836949
349,2025-01-15 12:00,63.4259,0.633897,0.836367
350,2025-01-15 13:00,63.2716,0.632716,0.835785
351,2025-01-15 14:00,63.2716,0.632216,0.835205
352,2025-01-15 15:00,63.1173,0.62906,0.83462
353,2025-01-15 16:00,62.8858,0.628858,0.834037
354,2025-01-15 17:00,62.8858,0.628393,0.833456
355,2025-01-15 18:00,62.7315,0.622282,0.832861
356,2025-01-15 19:00,61.8827,0.618827,0.83226
357,2025-01-15 20:00,61.8827,0.611015,0.83164
358,2025-01-15 21:00,60.7253,0.607253,0.831013
359,2025-01-15 22:00,60.7253,0.607253,0.83039
360,2025-01-15 23:00,60.7253,0.606645,0.829768
361,2025-01-16 00:00,60.6481,0.606481,0.82915
362,2025-01-16 01:00,60.6481,0.606481,0.828535
363,2025-01-16 02:00,60.6481,0.606481,0.827923
364,2025-01-16 03:00,60.6481,0.606481,0.827315
365,2025-01-16 04:00,60.6481,0.606481,0.82671
