id,row,col,alive_percent,resilience
729,20,9,89.8611,0.879311
730,20,10,89.8611,0.879311
731,20,11,94.3056,0.93572
732,20,12,89.4444,0.864816
733,20,13,89.8611,0.879311
734,20,14,89.8611,0.879311
735,20,15,89.4444,0.864816
736,20,16,96.9444,0.963992
737,20,17,99.0278,0.987919
738,20,18,96.9444,0.963992
739,20,19,99.0278,0.988032
740,20,20,45.9722,0.357938
741,20,21,98.8889,0.984618
742,20,22,99.0278,0.989121
743,20,23,97.5,0.972855
744,20,24,97.5,0.972855
745,20,25,98.3333,0.979713
746,20,26,99.0278,0.989121
747,20,27,73.75,0.656879
748,20,28,54.7222,0.448924
749,20,29,41.5278,0.265562
750,20,30,96.9444,0.962726
751,20,31,98.0556,0.977523
752,20,32,89.8611,0.879311
753,20,33,97.0833,0.960535
754,20,34,50.9722,0.398141
755,20,35,89.4444,0.864816
756,21,0,97.5,0.966321
757,21,1,89.8611,0.879311
758,21,2,89.8611,0.879311
759,21,3,74.8611,0.66386
760,21,4,89.8611,0.879311
761,21,5,89.8611,0.879311
762,21,6,89.8611,0.879311
763,21,7,89.8611,0.879311
764,21,8,99.0278,0.988905
765,21,9,89.8611,0.879311
766,21,10,89.8611,0.879311
767,21,11,85.4167,0.794019
768,21,12,94.3056,0.93572
769,21,13,89.8611,0.879311
770,21,14,85.4167,0.794019
771,21,15,89.8611,0.879311
772,21,16,45.9722,0.357938
773,21,17,99.0278,0.987919
774,21,18,99.0278,0.987919
775,21,19,96.9444,0.963992
776,21,20,96.9444,0.963992
777,21,21,52.0833,0.434338
778,21,22,99.0278,0.988779
779,21,23,99.0278,0.988779
780,21,24,99.0278,0.987919
781,21,25,48.6111,0.376608
782,21,26,49.3056,0.385378
783,21,27,99.0278,0.98933
784,21,28,41.6667,0.261535
785,21,29,66.9444,0.583783
786,21,30,99.0278,0.987919
787,21,31,89.8611,0.879311
788,21,32,89.8611,0.879311
789,21,33,90.8333,0.881419
790,21,34,96.9444,0.962726
791,21,35,50.9722,0.398141
792,22,0,99.0278,0.98933
793,22,1,89.8611,0.879311
794,22,2,89.8611,0.879311
795,22,3,89.8611,0.879311
796,22,4,89.8611,0.879311
797,22,5,89.8611,0.879311
798,22,6,89.8611,0.879311
799,22,7,89.8611,0.879311
800,22,8,89.4444,0.864816
801,22,9,85.4167,0.794019
802,22,10,94.3056,0.93572
803,22,11,89.8611,0.879311
804,22,12,98.3333,0.980724
805,22,13,98.3333,0.980797
806,22,14,98.3333,0.980724
807,22,15,99.0278,0.988779
808,22,16,99.0278,0.98933
809,22,17,99.0278,0.987919
810,22,18,82.3611,0.775973
811,22,19,99.0278,0.987919
812,22,20,96.9444,0.963992
813,22,21,99.0278,0.988779
814,22,22,99.0278,0.987919
815,22,23,99.0278,0.987919
816,22,24,99.0278,0.989032
817,22,25,50.4167,0.386091
818,22,26,87.0833,0.818038
819,22,27,88.1944,0.832522
820,22,28,88.1944,0.832522
821,22,29,88.1944,0.832522
822,22,30,41.3889,0.227827
823,22,31,96.9444,0.962726
824,22,32,98.0556,0.977523
825,22,33,99.0278,0.987919
826,22,34,98.3333,0.980797
827,22,35,98.3333,0.980797
828,23,0,98.3333,0.980797
829,23,1,82.5,0.786533
830,23,2,99.0278,0.988905
831,23,3,89.8611,0.879311
832,23,4,89.8611,0.879311
833,23,5,98.3333,0.980724
834,23,6,98.3333,0.980724
835,23,7,89.8611,0.879311
836,23,8,98.3333,0.980797
837,23,9,89.4444,0.864816
838,23,10,98.3333,0.980797
839,23,11,98.3333,0.980797
840,23,12,99.0278,0.989115
841,23,13,98.3333,0.980724
842,23,14,98.3333,0.980724
843,23,15,99.0278,0.98993
844,23,16,99.0278,0.988032
845,23,17,45.9722,0.357938
846,23,18,99.0278,0.988779
847,23,19,99.0278,0.988779
848,23,20,56.1111,0.448384
849,23,21,99.0278,0.987919
850,23,22,99.0278,0.987919
851,23,23,59.3056,0.529889
852,23,24,89.7222,0.853262
853,23,25,87.0833,0.822763
854,23,26,92.6389,0.891426
855,23,27,88.1944,0.832522
856,23,28,71.8056,0.633373
857,23,29,41.5278,0.265562
858,23,30,50.9722,0.398141
859,23,31,94.3056,0.93572
860,23,32,97.0833,0.960535
861,23,33,98.0556,0.977523
862,23,34,74.8611,0.66386
863,23,35,99.0278,0.990278
864,24,0,99.0278,0.98993
865,24,1,69.1667,0.617434
866,24,2,89.8611,0.879311
867,24,3,89.8611,0.879311
868,24,4,98.3333,0.980724
869,24,5,98.3333,0.980724
870,24,6,98.3333,0.980797
871,24,7,98.3333,0.980797
872,24,8,98.3333,0.980724
