id,row,col,norm,final_health,service_ratio,total_demand,total_generated,total_self_served,total_imported,total_exported,total_unmet,final_storage
535,14,31,0.4468,0.9171,0.9366,231.182,271.287,189.969,26.565,81.318,14.647,0.0
536,14,32,0.1788,0.0,0.7692,813.95,909.598,556.64,69.49,352.958,187.821,0.0
537,14,33,0.6189,0.0,0.3585,203008.372,71942.195,71942.155,831.155,0.04,130235.061,0.0
538,14,34,0.4653,0.0,0.6234,900.362,939.345,538.64,22.679,400.705,339.043,0.0
539,14,35,0.7636,0.0,0.5928,149.73,133.068,72.184,16.569,60.884,60.977,0.0
540,15,0,0.8365,0.7677,0.9046,231.182,271.287,162.948,46.177,108.34,22.058,0.0
541,15,1,0.4003,1.0,0.9554,900.362,939.345,848.258,11.935,83.461,40.169,7.625
542,15,2,0.1285,1.0,0.9773,2258.333,2867.502,2205.29,1.834,4.908,51.208,657.304
543,15,3,0.3653,1.0,0.9912,272.625,508.327,270.164,0.063,15.083,2.398,223.08
544,15,4,0.5043,1.0,0.9767,173.418,290.741,168.579,0.799,64.976,4.041,57.187
545,15,5,0.0407,0.6605,0.9441,149.73,133.068,131.974,9.392,1.094,8.364,0.0
546,15,6,0.0822,1.0,0.9563,813.95,909.598,758.757,19.627,16.568,35.567,134.273
547,15,7,0.7776,0.2161,0.6903,149.73,133.068,90.946,12.416,42.122,46.369,0.0
548,15,8,0.08,0.5039,0.8322,114.195,97.273,72.994,22.038,24.279,19.162,0.0
549,15,9,0.5039,1.0,0.9827,173.418,290.741,169.898,0.522,62.815,2.997,58.028
550,15,10,0.6527,1.0,0.9437,725.015,706.591,668.54,15.681,2.258,40.794,35.794
551,15,11,0.0259,1.0,0.9963,514.7,694.863,512.81,0.0,1.359,1.889,180.693
552,15,12,0.9961,1.0,0.9675,514.7,694.863,495.902,2.086,34.217,16.711,164.744
553,15,13,0.1937,1.0,0.9536,134.15,159.076,123.092,4.835,4.734,6.224,31.25
554,15,14,0.2879,1.0,0.9758,1343.456,1921.543,1310.881,0.053,4.028,32.521,606.634
555,15,15,0.6861,1.0,0.9773,195.788,227.733,190.235,1.111,6.202,4.443,31.297
556,15,16,0.0655,1.0,0.9638,134.15,159.076,125.224,4.07,1.59,4.856,32.262
557,15,17,0.6104,0.5387,0.8226,159.132,51.949,51.849,79.056,0.1,28.227,0.0
558,15,18,0.1588,1.0,0.9543,134.15,159.076,122.713,5.313,10.754,6.124,25.609
559,15,19,0.6135,0.7102,0.7777,134.15,159.076,56.562,47.769,102.513,29.819,0.0
560,15,20,0.4564,1.0,0.9662,231.182,271.287,220.407,2.964,49.823,7.812,1.057
561,15,21,0.5022,1.0,0.9762,151.762,439.907,147.535,0.62,270.362,3.608,22.01
562,15,22,0.2083,0.5022,0.7507,191.188,158.737,103.59,39.941,55.147,47.657,0.0
563,15,23,0.6159,0.0283,0.5174,76.554,96.974,36.448,3.159,60.526,36.947,0.0
564,15,24,0.3191,0.109,0.481,4814.89,2278.128,2000.19,315.983,277.938,2498.717,0.0
565,15,25,0.1989,0.0,0.3313,66640.354,21488.695,21488.692,589.604,0.003,44562.058,0.0
566,15,26,0.1612,0.0,0.5401,153.279,52.318,50.414,32.373,1.904,70.492,0.0
567,15,27,0.6797,0.0,0.3774,5924.6,3025.787,2229.379,6.6,796.408,3688.621,0.0
568,15,28,0.1687,0.0,0.3828,1662721.401,635272.177,635271.463,1267.653,0.714,1026182.284,0.0
569,15,29,0.1151,0.6019,0.8838,149.73,133.068,102.17,30.163,30.898,17.398,0.0
570,15,30,0.6363,0.7961,0.9095,89.615,161.441,75.176,6.329,86.266,8.11,0.0
571,15,31,0.9662,0.0,0.7762,149.73,133.068,53.499,62.718,79.568,33.513,0.0
572,15,32,0.5552,0.0,0.6857,149.73,133.068,99.044,3.629,34.024,47.057,0.0
573,15,33,0.252,0.1592,0.6788,195.788,227.733,113.381,19.515,114.352,62.891,0.0
574,15,34,0.7379,0.0,0.4195,2193.927,836.901,836.794,83.618,0.106,1273.514,0.0
575,15,35,0.2648,0.0,0.405,2193.927,836.901,835.091,53.4,1.81,1305.436,0.0
576,16,0,0.5774,1.0,0.9759,1343.456,1921.543,1310.881,0.167,70.329,32.408,540.333
577,16,1,0.3308,0.875,0.9705,149.73,133.068,126.619,18.689,6.448,4.422,0.0
578,16,2,0.4423,0.8374,0.9331,114.195,97.273,94.185,12.373,3.087,7.636,0.0
579,16,3,0.6154,0.3653,0.9243,149.73,133.068,131.087,7.308,1.98,11.335,0.0
580,16,4,0.2964,0.6301,0.9344,149.73,133.068,129.863,10.05,3.204,9.816,0.0
581,16,5,0.2537,1.0,0.9193,813.95,909.598,743.029,5.244,51.871,65.678,114.698
582,16,6,0.9285,0.315,0.7596,813.95,909.598,526.191,92.058,383.407,195.702,0.0
583,16,7,0.733,0.014,0.4993,2782.325,1566.667,874.319,514.909,692.348,1393.096,0.0
584,16,8,0.2216,0.0,0.3403,25241.668,7347.846,7347.822,1241.738,0.025,16652.108,0.0
585,16,9,0.6161,0.7344,0.8034,114.195,97.273,42.295,49.449,54.978,22.451,0.0
586,16,10,0.4177,1.0,0.9429,725.015,706.591,657.939,25.66,20.134,41.416,28.518
587,16,11,0.8955,1.0,0.9781,454.35,621.898,442.826,1.595,74.648,9.929,104.424
588,16,12,0.4884,1.0,0.9631,706.272,907.921,653.883,26.325,75.488,26.064,178.55
589,16,13,0.6531,1.0,0.9123,725.015,706.591,636.55,24.895,35.883,63.57,34.158
590,16,14,0.0544,1.0,0.9551,134.15,159.076,124.617,3.51,2.526,6.024,31.933
591,16,15,0.355,0.8585,0.9683,47.13,40.748,40.608,5.026,0.14,1.495,0.0
592,16,16,0.5231,1.0,0.9963,514.7,694.863,512.81,0.0,6.39,1.889,175.663
593,16,17,0.4132,1.0,0.9876,231.182,271.287,227.017,1.29,22.625,2.875,21.646
594,16,18,0.5891,1.0,0.9759,1343.456,1921.543,1310.881,0.216,15.438,32.358,595.224
595,16,19,0.3662,1.0,0.9526,134.15,159.076,122.124,5.664,14.057,6.363,22.895
596,16,20,0.1586,1.0,0.9045,134.15,159.076,115.614,5.726,37.705,12.81,5.756
597,16,21,0.9366,0.5812,0.7228,797.997,633.102,322.085,254.704,311.017,221.208,0.0
598,16,22,0.7075,0.0,0.3576,203008.372,71942.195,71932.473,661.781,9.722,130414.117,0.0
599,16,23,0.0958,1.0,0.8854,76.554,96.974,60.936,6.849,36.027,8.77,0.011
600,16,24,0.1447,1.0,0.9692,151.762,439.907,142.716,4.372,294.342,4.674,2.849
601,16,25,0.402,0.9209,0.8148,1934.589,1072.577,842.167,734.225,230.41,358.197,0.0
602,16,26,0.9671,0.4695,0.7752,844.723,1384.247,526.424,128.378,857.823,189.921,0.0
603,16,27,0.6449,0.0,0.5545,7030.245,2472.574,2472.51,1425.78,0.064,3131.955,0.0
604,16,28,0.8927,0.6019,0.8005,76.554,96.974,36.772,24.508,60.202,15.274,0.0
605,16,29,0.6019,1.0,0.9302,113.475,193.66,105.533,0.021,87.419,7.921,0.708
606,16,30,0.2485,0.6019,0.7731,289.518,573.213,168.623,55.203,404.59,65.692,0.0
607,16,31,0.044,0.0,0.3477,42274.315,11611.309,11611.309,3087.9,0.0,27575.105,0.0
608,16,32,0.406,0.1592,0.8183,676.719,2279.427,522.867,30.901,1756.56,122.951,0.0
609,16,33,0.1592,1.0,0.994,272.625,508.327,270.933,0.05,80.758,1.641,156.637
610,16,34,0.0124,0.5126,0.7316,635.428,416.238,410.791,54.099,5.447,170.537,0.0
611,16,35,0.1423,0.0,0.4173,168.032,53.134,52.614,17.51,0.52,97.908,0.0
612,17,0,0.5183,0.9376,0.9379,159.505,52.566,52.539,97.068,0.027,9.898,0.0
613,17,1,0.5069,1.0,0.9353,813.95,909.598,758.684,2.582,11.595,52.684,139.318
614,17,2,0.8134,1.0,0.939,813.95,909.598,756.354,7.908,29.725,49.688,123.518
615,17,3,0.5086,0.8134,0.9379,149.73,133.068,129.969,10.462,3.098,9.299,0.0
616,17,4,0.3003,0.0,0.8759,149.73,133.068,129.58,1.561,3.487,18.589,0.0
617,17,5,0.9941,0.2537,0.8244,114.195,97.273,84.325,9.823,12.948,20.048,0.0
618,17,6,0.7154,0.0476,0.7951,149.73,133.068,103.036,16.018,30.032,30.676,0.0
619,17,7,0.3752,1.0,0.8158,173.418,290.741,134.024,7.453,156.702,31.94,0.015
620,17,8,0.7452,0.2067,0.6086,514.7,694.863,216.888,96.371,477.975,201.441,0.0
621,17,9,0.0805,1.0,0.9375,813.95,909.598,759.061,4.001,19.041,50.888,131.495
622,17,10,0.1754,0.483,0.9235,149.73,133.068,130.905,7.365,2.163,11.461,0.0
623,17,11,0.2614,0.9618,0.9638,233.474,186.768,182.049,42.979,4.719,8.445,0.0
624,17,12,0.1233,0.9688,0.9162,1190.839,891.712,891.152,199.847,0.56,99.841,0.0
625,17,13,0.7117,1.0,0.9174,813.95,909.598,701.202,45.485,131.127,67.264,77.269
626,17,14,0.6359,1.0,0.9234,701.62,698.796,636.031,11.854,18.933,53.735,43.831
627,17,15,0.6857,0.9919,0.9728,149.73,133.068,126.875,18.781,6.193,4.074,0.0
628,17,16,0.9719,1.0,0.9799,173.418,290.741,167.249,2.682,35.272,3.487,88.221
629,17,17,0.642,1.0,0.9562,134.15,159.076,124.805,3.467,0.78,5.879,33.491
630,17,18,0.0854,1.0,0.963,134.15,159.076,125.519,3.662,0.156,4.969,33.401
631,17,19,0.0152,1.0,0.9509,134.15,159.076,125.173,2.395,1.775,6.583,32.128
