hour,time,alive_percent,resilience
340,2025-01-15 03:00,77.6235,0.794281
341,2025-01-15 04:00,75.3858,0.794163
342,2025-01-15 05:00,73.3025,0.793984
343,2025-01-15 06:00,70.679,0.79373
344,2025-01-15 07:00,69.6759,0.793448
345,2025-01-15 08:00,68.4414,0.793132
346,2025-01-15 09:00,67.2068,0.792782
347,2025-01-15 10:00,66.0494,0.7924
348,2025-01-15 11:00,65.3549,0.792001
349,2025-01-15 12:00,64.7377,0.791587
350,2025-01-15 13:00,63.6574,0.791144
351,2025-01-15 14:00,62.2685,0.790664
352,2025-01-15 15:00,61.4198,0.790163
353,2025-01-15 16:00,60.8025,0.789647
354,2025-01-15 17:00,60.1852,0.789116
355,2025-01-15 18:00,59.4907,0.788569
356,2025-01-15 19:00,58.7963,0.788006
357,2025-01-15 20:00,57.2531,0.787402
358,2025-01-15 21:00,56.713,0.786787
359,2025-01-15 22:00,54.784,0.786121
360,2025-01-15 23:00,54.2438,0.785445
361,2025-01-16 00:00,53.6265,0.784754
362,2025-01-16 01:00,53.0093,0.784051
363,2025-01-16 02:00,51.8519,0.783319
364,2025-01-16 03:00,51.8519,0.782592
365,2025-01-16 04:00,51.6204,0.781862
366,2025-01-16 05:00,50.9259,0.781117
367,2025-01-16 06:00,50.9259,0.780376
368,2025-01-16 07:00,53.0864,0.779698
369,2025-01-16 08:00,89.0432,0.779999
370,2025-01-16 09:00,97.5309,0.780526
371,2025-01-16 10:00,99.6142,0.781108
372,2025-01-16 11:00,99.7685,0.78169
373,2025-01-16 12:00,99.7685,0.782269
374,2025-01-16 13:00,99.6914,0.782843
375,2025-01-16 14:00,99.6914,0.783414
376,2025-01-16 15:00,99.3056,0.783971
377,2025-01-16 16:00,98.4568,0.784503
378,2025-01-16 17:00,97.608,0.78501
379,2025-01-16 18:00,95.679,0.785463
380,2025-01-16 19:00,93.3642,0.785853
381,2025-01-16 20:00,92.3611,0.786215
382,2025-01-16 21:00,91.8981,0.786562
383,2025-01-16 22:00,90.4321,0.78687
384,2025-01-16 23:00,89.429,0.78715
385,2025-01-17 00:00,88.0401,0.787392
386,2025-01-17 01:00,86.1111,0.787583
387,2025-01-17 02:00,84.9537,0.787743
388,2025-01-17 03:00,83.7191,0.78787
389,2025-01-17 04:00,81.4815,0.78794
390,2025-01-17 05:00,80.1698,0.787975
391,2025-01-17 06:00,78.6265,0.78797
392,2025-01-17 07:00,77.392,0.787935
393,2025-01-17 08:00,84.4907,0.78808
394,2025-01-17 09:00,91.2809,0.788396
395,2025-01-17 10:00,95.5247,0.788819
396,2025-01-17 11:00,97.5309,0.78929
397,2025-01-17 12:00,97.9938,0.78977
398,2025-01-17 13:00,97.608,0.790238
399,2025-01-17 14:00,97.2994,0.790696
400,2025-01-17 15:00,95.9877,0.791119
401,2025-01-17 16:00,94.1358,0.791494
402,2025-01-17 17:00,92.2068,0.791818
403,2025-01-17 18:00,90.3549,0.792096
404,2025-01-17 19:00,87.7315,0.792307
405,2025-01-17 20:00,85.3395,0.792457
406,2025-01-17 21:00,82.6389,0.792541
407,2025-01-17 22:00,79.7068,0.792552
408,2025-01-17 23:00,76.929,0.792495
409,2025-01-18 00:00,74.7685,0.792385
410,2025-01-18 01:00,71.9136,0.792207
411,2025-01-18 02:00,69.1358,0.791961
412,2025-01-18 03:00,68.3642,0.791699
413,2025-01-18 04:00,66.7438,0.791398
414,2025-01-18 05:00,64.3519,0.79104
415,2025-01-18 06:00,62.5772,0.790642
416,2025-01-18 07:00,61.8827,0.790229
417,2025-01-18 08:00,84.3364,0.790357
418,2025-01-18 09:00,95.2932,0.790746
419,2025-01-18 10:00,98.9198,0.791219
420,2025-01-18 11:00,99.6914,0.791709
421,2025-01-18 12:00,99.7685,0.792198
422,2025-01-18 13:00,99.6914,0.792683
423,2025-01-18 14:00,99.6142,0.793164
424,2025-01-18 15:00,99.0741,0.79363
425,2025-01-18 16:00,97.9938,0.794069
426,2025-01-18 17:00,96.0648,0.79446
427,2025-01-18 18:00,93.6728,0.794793
428,2025-01-18 19:00,91.8981,0.795083
429,2025-01-18 20:00,90.4321,0.795338
430,2025-01-18 21:00,89.0432,0.795559
431,2025-01-18 22:00,86.4969,0.79572
432,2025-01-18 23:00,84.4136,0.795832
433,2025-01-19 00:00,82.2531,0.795894
434,2025-01-19 01:00,78.7809,0.795875
435,2025-01-19 02:00,75.0,0.795769
436,2025-01-19 03:00,72.7623,0.795613
437,2025-01-19 04:00,70.5247,0.795406
438,2025-01-19 05:00,66.8981,0.795118
439,2025-01-19 06:00,64.5833,0.794778
440,2025-01-19 07:00,62.8858,0.794401
441,2025-01-19 08:00,71.3735,0.794218
442,2025-01-19 09:00,77.0833,0.794165
443,2025-01-19 10:00,88.7346,0.794375
444,2025-01-19 11:00,91.358,0.794644
445,2025-01-19 12:00,94.6759,0.794985
446,2025-01-19 13:00,95.9105,0.795353
447,2025-01-19 14:00,95.5247,0.795711
448,2025-01-19 15:00,93.9815,0.796033
449,2025-01-19 16:00,92.5154,0.79632
450,2025-01-19 17:00,87.8858,0.796504
451,2025-01-19 18:00,83.8735,0.796597
452,2025-01-19 19:00,79.2438,0.796588
453,2025-01-19 20:00,71.9136,0.796417
454,2025-01-19 21:00,65.5093,0.796106
455,2025-01-19 22:00,61.034,0.795698
456,2025-01-19 23:00,56.713,0.795196
457,2025-01-20 00:00,54.6296,0.794652
458,2025-01-20 01:00,53.2407,0.794079
459,2025-01-20 02:00,51.7747,0.793477
460,2025-01-20 03:00,50.6173,0.792853
461,2025-01-20 04:00,50.3858,0.792226
462,2025-01-20 05:00,49.6914,0.791587
463,2025-01-20 06:00,48.9969,0.790935
464,2025-01-20 07:00,48.3796,0.790273
465,2025-01-20 08:00,76.0031,0.790208
466,2025-01-20 09:00,94.0586,0.790531
467,2025-01-20 10:00,99.2284,0.790963
468,2025-01-20 11:00,100.0,0.791409
469,2025-01-20 12:00,100.0,0.791854
470,2025-01-20 13:00,100.0,0.792297
471,2025-01-20 14:00,100.0,0.792738
472,2025-01-20 15:00,99.6142,0.793169
473,2025-01-20 16:00,99.2284,0.79359
474,2025-01-20 17:00,98.4568,0.793993
475,2025-01-20 18:00,96.8364,0.79436
476,2025-01-20 19:00,95.1389,0.79469
477,2025-01-20 20:00,93.9815,0.794994
478,2025-01-20 21:00,92.8241,0.795273
479,2025-01-20 22:00,91.1265,0.795515
480,2025-01-20 23:00,88.5802,0.795703
481,2025-01-21 00:00,86.034,0.795838
482,2025-01-21 01:00,82.4074,0.795896
483,2025-01-21 02:00,78.7809,0.795879
484,2025-01-21 03:00,74.2284,0.795769
485,2025-01-21 04:00,70.0617,0.795572
486,2025-01-21 05:00,63.8889,0.79525
487,2025-01-21 06:00,58.3333,0.794815
488,2025-01-21 07:00,55.9414,0.794333
489,2025-01-21 08:00,71.2191,0.794165
490,2025-01-21 09:00,90.2006,0.794385
491,2025-01-21 10:00,98.6111,0.794775
492,2025-01-21 11:00,99.8457,0.795189
493,2025-01-21 12:00,100.0,0.795605
494,2025-01-21 13:00,100.0,0.796018
495,2025-01-21 14:00,99.8457,0.796427
496,2025-01-21 15:00,99.3056,0.796824
