id,row,col,building_type,norm,alive_percent,critical_percent,permanently_dead,resilience
400,11,4,residential,1.0,19.5833,2.3611,True,0.106549
401,11,5,residential,1.0,23.1944,0.5556,True,0.196878
402,11,6,residential,1.0,27.7778,0.0,True,0.265227
403,11,7,residential,1.0,28.1944,0.0,True,0.268846
404,11,8,residential,1.0,29.7222,0.1389,True,0.279497
405,11,9,residential,1.0,24.3056,0.4167,True,0.21513
406,11,10,residential,1.0,38.6111,0.1389,True,0.370099
407,11,11,residential,1.0,26.9444,2.0833,True,0.233849
408,11,12,residential,1.0,24.1667,0.4167,True,0.218742
409,11,13,residential,1.0,38.0556,0.0,True,0.361868
410,11,14,residential,1.0,95.8333,0.0,False,0.952938
411,11,15,residential,1.0,44.4444,0.1389,True,0.432203
412,11,16,residential,1.0,23.4722,0.5556,True,0.21076
413,11,17,residential,1.0,31.6667,0.1389,True,0.303745
414,11,18,residential,1.0,30.6944,0.0,True,0.299941
415,11,19,residential,1.0,30.6944,0.0,True,0.291914
416,11,20,residential,1.0,32.9167,0.0,True,0.319061
417,11,21,residential,1.0,43.1944,0.0,True,0.423632
418,11,22,residential,1.0,92.6389,0.0,False,0.923369
419,11,23,residential,1.0,93.75,0.0,False,0.934646
420,11,24,residential,1.0,95.2778,0.0,False,0.950624
421,11,25,residential,1.0,42.9167,0.1389,True,0.424555
422,11,26,residential,1.0,30.2778,0.1389,True,0.278739
423,11,27,residential,1.0,38.4722,0.0,True,0.372962
424,11,28,residential,1.0,20.9722,0.2778,True,0.174113
425,11,29,residential,1.0,19.8611,2.0833,True,0.136941
426,11,30,residential,1.0,21.5278,1.6667,True,0.16976
427,11,31,residential,1.0,22.7778,0.1389,True,0.212595
428,11,32,residential,1.0,21.5278,0.1389,True,0.183916
429,11,33,residential,1.0,26.25,0.6944,True,0.235377
430,11,34,residential,1.0,27.0833,0.0,True,0.25237
431,11,35,residential,1.0,25.1389,0.2778,True,0.224936
432,12,0,residential,1.0,38.4722,0.1389,True,0.367691
433,12,1,residential,1.0,39.4444,0.0,True,0.389976
434,12,2,residential,1.0,39.5833,0.1389,True,0.381494
435,12,3,residential,1.0,38.1944,0.0,True,0.370893
436,12,4,residential,1.0,30.1389,0.0,True,0.284371
437,12,5,residential,1.0,23.75,2.2222,True,0.195897
438,12,6,residential,1.0,25.1389,0.0,True,0.235936
439,12,7,residential,1.0,28.4722,0.1389,True,0.267977
440,12,8,residential,1.0,24.3056,0.4167,True,0.215086
441,12,9,residential,1.0,23.6111,0.5556,True,0.210681
442,12,10,residential,1.0,27.7778,0.1389,True,0.263943
443,12,11,residential,1.0,33.4722,0.0,True,0.322521
444,12,12,residential,1.0,33.1944,0.1389,True,0.316539
445,12,13,residential,1.0,41.8056,0.0,True,0.403851
446,12,14,residential,1.0,42.2222,0.0,True,0.414469
447,12,15,residential,1.0,41.8056,0.0,True,0.403847
448,12,16,residential,1.0,21.3889,1.9444,True,0.181591
449,12,17,residential,1.0,27.5,0.1389,True,0.257911
450,12,18,residential,1.0,30.8333,0.0,True,0.290596
451,12,19,residential,1.0,24.0278,0.6944,True,0.211917
452,12,20,residential,1.0,25.1389,0.2778,True,0.229165
453,12,21,residential,1.0,33.6111,0.2778,True,0.311566
454,12,22,residential,1.0,43.6111,0.0,True,0.422028
455,12,23,residential,1.0,93.3333,0.0,False,0.926275
456,12,24,residential,1.0,43.75,0.1389,True,0.423109
457,12,25,residential,1.0,30.1389,0.4167,True,0.273308
458,12,26,residential,1.0,25.4167,0.0,True,0.249521
459,12,27,residential,1.0,22.7778,0.2778,True,0.193819
460,12,28,residential,1.0,25.8333,0.2778,True,0.241998
461,12,29,residential,1.0,20.1389,0.2778,True,0.161936
462,12,30,residential,1.0,20.1389,0.0,True,0.192912
463,12,31,residential,1.0,21.6667,1.6667,True,0.171417
464,12,32,residential,1.0,20.8333,0.1389,True,0.179134
465,12,33,residential,1.0,25.0,1.5278,True,0.214723
466,12,34,residential,1.0,25.9722,0.1389,True,0.25002
467,12,35,residential,1.0,26.3889,1.8056,True,0.227416
468,13,0,residential,1.0,24.8611,1.6667,True,0.210075
